Horizon started successfully.
[2022-07-13 14:38:57][d3466d1d-4a56-4792-8243-0f395fdb96bf] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:38:56][672b46b4-13a4-4e23-a8b1-7c57d60bef56] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:38:57][d3466d1d-4a56-4792-8243-0f395fdb96bf] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:38:57][af077e29-dedc-40ed-b09a-39b928716ce8] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:38:58][af077e29-dedc-40ed-b09a-39b928716ce8] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:38:58][68c8ffa5-18db-42e0-822c-a31e8f34ca17] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:38:57][672b46b4-13a4-4e23-a8b1-7c57d60bef56] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:38:57][9264427b-8253-4d26-9c38-de2eb9c275a1] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:38:58][9264427b-8253-4d26-9c38-de2eb9c275a1] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:38:58][84a43509-17c3-465d-8264-7df5fa3ded6e] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:38:58][68c8ffa5-18db-42e0-822c-a31e8f34ca17] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:38:58][bc44af64-59a2-4c9b-a969-750aefd80989] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:38:59][bc44af64-59a2-4c9b-a969-750aefd80989] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:38:59][71d69226-335d-4b83-8b8a-9cce5f369727] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:38:58][84a43509-17c3-465d-8264-7df5fa3ded6e] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:38:58][069d271f-f36d-4de2-98e1-0c9de829a03f] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:38:59][069d271f-f36d-4de2-98e1-0c9de829a03f] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:38:59][5a2e8c44-8377-43e1-9837-db687cf6cf04] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:38:59][71d69226-335d-4b83-8b8a-9cce5f369727] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:38:59][b467c2a0-8aa5-4a07-9333-df51e574eb74] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:00][b467c2a0-8aa5-4a07-9333-df51e574eb74] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:00][00c89509-9d05-4247-a676-a2ff40aa7acb] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:38:59][5a2e8c44-8377-43e1-9837-db687cf6cf04] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:38:59][703a63b2-8f24-494b-b868-7f9271019e54] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:00][703a63b2-8f24-494b-b868-7f9271019e54] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:00][a0619148-7c97-4620-9665-86f227a3d532] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:00][4a02613f-5f12-403e-abc6-5f62e26d312d] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:00][00c89509-9d05-4247-a676-a2ff40aa7acb] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:00][f63a3f36-62b7-45b1-a478-efe5ffa4da03] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:01][f63a3f36-62b7-45b1-a478-efe5ffa4da03] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:01][662834bf-cd63-4f29-9574-ade37f853147] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:00][a0619148-7c97-4620-9665-86f227a3d532] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:00][0d07e225-1d0c-4630-983b-8d25d350ec8c] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:01][0d07e225-1d0c-4630-983b-8d25d350ec8c] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:01][c6ad70e9-4138-4c78-9967-65098d6f162e] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:01][4a02613f-5f12-403e-abc6-5f62e26d312d] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:01][6ef1937a-b77b-45d1-b919-b593399d6818] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:01][662834bf-cd63-4f29-9574-ade37f853147] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:01][da1d06d3-8879-4836-96b5-ee0f9739dbaf] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:02][da1d06d3-8879-4836-96b5-ee0f9739dbaf] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:02][9366ca5e-b2e7-46b5-ad80-52ab49fa775e] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:01][c6ad70e9-4138-4c78-9967-65098d6f162e] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:01][4f57fd4d-59d1-470d-aa8d-ee587f39382b] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:02][4f57fd4d-59d1-470d-aa8d-ee587f39382b] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:02][ab3edda1-1d20-423d-8082-3e1c97bbf959] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:01][6ef1937a-b77b-45d1-b919-b593399d6818] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:01][7fd21a00-5666-43fb-a303-5e9618ad976b] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:02][7fd21a00-5666-43fb-a303-5e9618ad976b] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:02][fad4d156-ddb1-43d7-861a-13f8acf5c6b1] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:03][9366ca5e-b2e7-46b5-ad80-52ab49fa775e] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:03][9a154c76-3817-45ff-9c28-307c0a954580] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:03][ab3edda1-1d20-423d-8082-3e1c97bbf959] Processed:  App\Jobs\ProcessApiRequest
